"product","substance_name","substance_synonym","abbreviation","abbreviation_synonym","substance_group","cas_number","source","source_text"
"Medical devices / Electro-mechanical devices such as surgery robots, saws and drills",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE PFPE Unspecified PFAS assumed to be fluoropolymers PCTFE (oils and greases)"
"Medical devices / Hospital oxygen systems",,,"PCTFE",,,,"A.62","Polymeric PFAS: PTFE PFPE Unspecified PFAS assumed to be fluoropolymers PCTFE (oils and greases)"
"Medical devices / Hospital oxygen systems",,,"PFPE",,,,"A.62","Polymeric PFAS: PTFE PFPE Unspecified PFAS assumed to be fluoropolymers PCTFE (oils and greases)"
"Medical devices / Hospital oxygen systems",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE PFPE Unspecified PFAS assumed to be fluoropolymers PCTFE (oils and greases)"
"Medical devices / Hyperbaric oxygen chambers",,,"PCTFE",,,,"A.62","Polymeric PFAS: PTFE PFPE Unspecified PFAS assumed to be fluoropolymers PCTFE (oils and greases)"
"Medical devices / Hyperbaric oxygen chambers",,,"PFPE",,,,"A.62","Polymeric PFAS: PTFE PFPE Unspecified PFAS assumed to be fluoropolymers PCTFE (oils and greases)"
"Medical devices / Hyperbaric oxygen chambers",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE PFPE Unspecified PFAS assumed to be fluoropolymers PCTFE (oils and greases)"
"Medical devices / Implants such as ecmo-systems",,,"PCTFE",,,,"A.62","Polymeric PFAS: PTFE PFPE Unspecified PFAS assumed to be fluoropolymers PCTFE (oils and greases)"
"Medical devices / Implants such as ecmo-systems",,,"PFPE",,,,"A.62","Polymeric PFAS: PTFE PFPE Unspecified PFAS assumed to be fluoropolymers PCTFE (oils and greases)"
"Medical devices / Implants such as ecmo-systems",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE PFPE Unspecified PFAS assumed to be fluoropolymers PCTFE (oils and greases)"
"Medical devices / Nitrous oxide systems",,,"PCTFE",,,,"A.62","Polymeric PFAS: PTFE PFPE Unspecified PFAS assumed to be fluoropolymers PCTFE (oils and greases)"
"Medical devices / Nitrous oxide systems",,,"PFPE",,,,"A.62","Polymeric PFAS: PTFE PFPE Unspecified PFAS assumed to be fluoropolymers PCTFE (oils and greases)"
"Medical devices / Nitrous oxide systems",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE PFPE Unspecified PFAS assumed to be fluoropolymers PCTFE (oils and greases)"
"Medical devices / Prosthesis, orthosis, wheelchair, exoskeleton etc.; piston and gear wheel applications; Lubricant additive in plastic components",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE"
"Metal and steel / Cutting/drawing/formi ng oil for processing refractory metals such as tantalum, molybdenum, tungsten, rhenium, titanium and niobium",,,"PCTFE",,,,"A.62","Polymeric PFAS: PCTFE"
"Metal and steel / Grease for swivel joints in oxygen delivery systems and oxygen heating systems",,,"PCTFE",,,,"A.62","Polymeric PFAS: PCTFE (grease)"
"Metal and steel / Manufacture of woven wire and cable for safe use in aggressive applications",,,"PCTFE",,,,"A.62","Polymeric PFAS: PCTFE"
"Military applications / Combustion engines",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE"
"Military applications / Flotation fluids in gyroscopes in aircrafts and missiles",,,"PCTFE",,,,"A.62","Polymeric PFAS: PCTFE (oil)"
"Military applications / Hydraulic systems incl. control valves, bearings, brake and hydraulic fluids",,,"PFPE",,,,"A.62","Polymeric PFAS: PTFE PFPE"
"Military applications / Hydraulic systems incl. control valves, bearings, brake and hydraulic fluids",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE PFPE"
"Nuclear energy / Anti-galling thread lubricant for stainless steel assemblies",,,"PCTFE",,,,"A.62","Polymeric PFAS: PCTFE"
"Nuclear energy / Enrichment of natural uranium (lubricants used to ensure a stable isotope enrichment)",,,"PFPE",,,,"A.62","Polymeric PFAS: PFPE"
"Nuclear energy / Greases of critical bearings and manipulator greases for nuclear waste handling","Fluoropolymer (not further specified)",,,,,,"A.62","Polymeric PFAS: Fluoropolymer (not further specified)"
"Nuclear energy / Lubricant for processing uranium hexafluoride",,,"PCTFE",,,,"A.62","Polymeric PFAS: PCTFE"
"Nuclear energy / Oil for service of various installations incl. controls in nuclear facility",,,"PCTFE",,,,"A.62","PCTFE"
"Nuclear energy / Production of hydrogen and of UO2 (Uranium dioxide, used as fuel in nuclear power reactors)",,,"PFPE",,,,"A.62","Polymeric PFAS: PFPE"
"Nuclear energy / Vacuum pumps in the nuclear reactors",,,"PFPE",,,,"A.62","Polymeric PFAS: PFPE"
"Off-shore and oil & gas / Alkylation lubricant (compatible with HF and sulphuric acids)",,,"PCTFE",,,,"A.62","Polymeric PFAS: PCTFE"
"Off-shore and oil & gas / Anti-seize lubricant for drilling tools in hydrogen sulphide environments",,,"PCTFE",,,,"A.62","Polymeric PFAS: PCTFE"
"Off-shore and oil & gas / Carbon dioxide pump oil",,,"PCTFE",,,,"A.62","Polymeric PFAS: PCTFE (oils)"
"Off-shore and oil & gas / Helium service-oil for helium compressors and lubricants for helium regulators",,,"PCTFE",,,,"A.62","Polymeric PFAS: PCTFE (oils)"
"Off-shore and oil & gas / Instrument fill fluid for oil exploration equipment",,,"PCTFE",,,,"A.62","Polymeric PFAS: PCTFE"
"Off-shore and oil & gas / Lubrication of screws, nuts, magnetic anchors, bolts etc.",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE"
"Off-shore and oil & gas / Oxygen service-lubricants for remote control solenoid valves, thread lubricant, instrument fill fluid, rotary meter lubricant, diaphragm compressor oil, vacuum pump oils for evacuating oxygen cylinders and bulk (cryogenic) storage tanks, vacuum pump oils for oxygen plasma cleaning, bearing grease for liquid oxygen (LOX) pumps and lubricant for compressors in portable oxygen plants",,,"PCTFE",,,,"A.62","Polymeric PFAS: PCTFE (oils and greases)"
"Off-shore and oil & gas / Welding gases-lubricants for bearings in LOX pumps and vacuum pump oils for evacuating oxygen cylinders",,,"PCTFE",,,,"A.62","Polymeric PFAS: PCTFE (oils)"
"Paper / Lubrication processes in relation to pulp-bleaching chlorine, sodium chlorate, chlorine dioxide, oxygen and hydrogen peroxide.",,,"PCTFE",,,,"A.62","Polymeric PFAS: PCTFE"
"Paper / Roller bearings of corrugated paper machinery",,,"PFPE",,,,"A.62","Polymeric PFAS: PTFE PFPE"
"Paper / Roller bearings of corrugated paper machinery",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE PFPE"
"Plastic and rubber products / Bearings supporting chains running through an oven in which plastic films are heat-treated",,,"PFPE",,,,"A.62","Polymeric PFAS: PFPE"
"Plastic and rubber products / Equipment for processing/packaging",,,"PTFE",,,,"A.62","PTFE (wax or spray)"
"Plastic and rubber products / Lubricating coating of productions tools for manufacturing of plastic products such as PEX pipes",,,"ETFE",,,,"A.62","Polymeric PFAS: PTFE (micropowder) PFA, ETFE, FEP"
"Plastic and rubber products / Lubricating coating of productions tools for manufacturing of plastic products such as PEX pipes",,,"FEP",,,,"A.62","Polymeric PFAS: PTFE (micropowder) PFA, ETFE, FEP"
"Plastic and rubber products / Lubricating coating of productions tools for manufacturing of plastic products such as PEX pipes",,,"PFA",,,,"A.62","Polymeric PFAS: PTFE (micropowder) PFA, ETFE, FEP"
"Plastic and rubber products / Lubricating coating of productions tools for manufacturing of plastic products such as PEX pipes",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE (micropowder) PFA, ETFE, FEP"
"Plastic and rubber products / Lubrication for PEX-pipes and compression sleeves in underfloor heating.",,,"PFPE",,,,"A.62","Polymeric PFAS: PTFE (micropowder) PFPE"
"Plastic and rubber products / Lubrication for PEX-pipes and compression sleeves in underfloor heating.",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE (micropowder) PFPE"
"Plastic and rubber products / Lubrication of ejector pins, sliders, folding units and sliding surfaces in plastic injection moulding tools",,,"PFPE",,,,"A.62","Polymeric PFAS: PTFE (micropowder) PFPE"
"Plastic and rubber products / Lubrication of ejector pins, sliders, folding units and sliding surfaces in plastic injection moulding tools",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE (micropowder) PFPE"
"Plastic and rubber products / Release agent/mould release in manufacturing of e.g. tires and PVC products",,,"ETFE",,,,"A.62","Polymeric PFAS: PTFE (micropowder) PFA, ETFE, FEP"
"Plastic and rubber products / Release agent/mould release in manufacturing of e.g. tires and PVC products",,,"FEP",,,,"A.62","Polymeric PFAS: PTFE (micropowder) PFA, ETFE, FEP"
"Plastic and rubber products / Release agent/mould release in manufacturing of e.g. tires and PVC products",,,"PFA",,,,"A.62","Polymeric PFAS: PTFE (micropowder) PFA, ETFE, FEP"
"Plastic and rubber products / Release agent/mould release in manufacturing of e.g. tires and PVC products",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE (micropowder) PFA, ETFE, FEP"
"Plastic and rubber products / Tire production: Lubrication of tire moulds",,,"ETFE",,,,"A.62","Polymeric PFAS: PFPE (grease) PTFE (micropowder) ETFE FEP"
"Plastic and rubber products / Tire production: Lubrication of tire moulds",,,"FEP",,,,"A.62","Polymeric PFAS: PFPE (grease) PTFE (micropowder) ETFE FEP"
"Plastic and rubber products / Tire production: Lubrication of tire moulds",,,"PFPE",,,,"A.62","Polymeric PFAS: PFPE (grease) PTFE (micropowder) ETFE FEP"
"Plastic and rubber products / Tire production: Lubrication of tire moulds",,,"PTFE",,,,"A.62","Polymeric PFAS: PFPE (grease) PTFE (micropowder) ETFE FEP"
"Printing applications / Offices machines, including heaters and printers e.g. lubrication tape for printers",,,"PFPE",,,,"A.62","Polymeric PFAS: PTFE PFPE"
"Printing applications / Offices machines, including heaters and printers e.g. lubrication tape for printers",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE PFPE"
"Rail and sea transport / Bearings and gaskets of piston compressors",,,"PFPE",,,,"A.62","Polymeric PFAS: PTFE PFPE Fluorinated gases: Mixture of PTFE and solvent"
"Rail and sea transport / Bearings and gaskets of piston compressors",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE PFPE Fluorinated gases: Mixture of PTFE and solvent"
"Rail and sea transport / Coating of piston rings",,,"PFPE",,,,"A.62","Polymeric PFAS: PTFE PFPE Fluorinated gases: Mixture of PTFE and solvent"
"Rail and sea transport / Coating of piston rings",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE PFPE Fluorinated gases: Mixture of PTFE and solvent"
"Rail and sea transport / Damping oil in magnet systems and coating of electrical contacts",,,"PFPE",,,,"A.62","Polymeric PFAS: PTFE PFPE Fluorinated gases: Mixture of PTFE and solvent"
"Rail and sea transport / Damping oil in magnet systems and coating of electrical contacts",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE PFPE Fluorinated gases: Mixture of PTFE and solvent"
"Rail and sea transport / Manufacturing of transport equipment including [lubricants in] sensors and pistons",,,"PFPE",,,,"A.62","Polymeric PFAS: PTFE PFPE Fluorinated gases: Mixture of PTFE and solvent"
"Rail and sea transport / Manufacturing of transport equipment including [lubricants in] sensors and pistons",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE PFPE Fluorinated gases: Mixture of PTFE and solvent"
"Rail and sea transport / Train door lubrication",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE"
"Rail and sea transport / Valves in powertrains",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE"
"Renewable energy / Energy storage and energy conversion via hydrogen such as PEM – bearings and as lubricant additive in plastics","Fluoropolymer (Not further specified)",,,,,,"A.62","Polymeric PFAS: Fluoropolymer (Not further specified)"
"Renewable energy / Fuel cell technology – assembly aid e.g. grease for O-rings",,,"PFPE",,,,"A.62","Polymeric PFAS: PTFE PFPE"
"Renewable energy / Fuel cell technology – assembly aid e.g. grease for O-rings",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE PFPE"
"Renewable energy / Screws, nuts magnetic achors, bolts, bearings etc. in wind power",,,"PFPE",,,,"A.62","Polymeric PFAS: PTFE PFPE"
"Renewable energy / Screws, nuts magnetic achors, bolts, bearings etc. in wind power",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE PFPE"
"Test and monitoring / Optical equipment/Optometric devices",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE Unspecified PFAS"
"Watchmaking and service / Epilame mixtures used in both manufacturing and in service/repair of time pieces","Other fluoropolymers (Confidential substances)",,,,,,"A.62","Polymeric PFAS: PTFE (powder) Other fluoropolymers (Confidential substances) Non-polymeric PFAS: Side-chain fluorinated polymers Fluorinated gases: Solvents used as carrier fluids"
"Watchmaking and service / Epilame mixtures used in both manufacturing and in service/repair of time pieces","Side-chain fluorinated polymers",,,,,,"A.62","Polymeric PFAS: PTFE (powder) Other fluoropolymers (Confidential substances) Non-polymeric PFAS: Side-chain fluorinated polymers Fluorinated gases: Solvents used as carrier fluids"
"Watchmaking and service / Epilame mixtures used in both manufacturing and in service/repair of time pieces","Solvents used as carrier fluids [fluorinated gas]",,,,,,"A.62","Polymeric PFAS: PTFE (powder) Other fluoropolymers (Confidential substances) Non-polymeric PFAS: Side-chain fluorinated polymers Fluorinated gases: Solvents used as carrier fluids"
"Watchmaking and service / Epilame mixtures used in both manufacturing and in service/repair of time pieces",,,"PTFE",,,,"A.62","Polymeric PFAS: PTFE (powder) Other fluoropolymers (Confidential substances) Non-polymeric PFAS: Side-chain fluorinated polymers Fluorinated gases: Solvents used as carrier fluids"
"Water and wastewater treatment / Resin and rubber materials in e.g. cooling water control valves",,,"PFPE",,,,"A.62","PTFE PFPE (grease)"
"Water and wastewater treatment / Resin and rubber materials in e.g. cooling water control valves",,,"PTFE",,,,"A.62","PTFE PFPE (grease)"
"Water and wastewater treatment / Swimming pool chemicals-lubricants compatible with compacting equipment for tableting swimming pool chemicals",,,"PCTFE",,,,"A.62","Polymeric PFAS: PCTFE"
"Water and wastewater treatment / Wastewater chemicals-water treatment chemicals that are used in chlorinators, pumps valves etc.",,,"PCTFE",,,,"A.62","Polymeric PFAS: PCTFE"
"equipment / Anti-vibration equipment","Perfluoroalkoxy alkane",,"PFA",,,,"A.62","assumed fluoropolymers PFA (Perfluoroalkoxy alkane) PVDF ETFE PA66 HDPE Resins: PE POM"
"equipment / Anti-vibration equipment",,,"ETFE",,,,"A.62","assumed fluoropolymers PFA (Perfluoroalkoxy alkane) PVDF ETFE PA66 HDPE Resins: PE POM"
"equipment / Anti-vibration equipment",,,"PVDF",,,,"A.62","assumed fluoropolymers PFA (Perfluoroalkoxy alkane) PVDF ETFE PA66 HDPE Resins: PE POM"
"equipment / Bearings in magnetic stirrers in chemical laboratories","Perfluoroalkoxy alkane",,"PFA",,,,"A.62","assumed fluoropolymers PFA (Perfluoroalkoxy alkane) PVDF ETFE PA66 HDPE Resins: PE POM"
"equipment / Bearings in magnetic stirrers in chemical laboratories",,,"ETFE",,,,"A.62","assumed fluoropolymers PFA (Perfluoroalkoxy alkane) PVDF ETFE PA66 HDPE Resins: PE POM"
"equipment / Bearings in magnetic stirrers in chemical laboratories",,,"PVDF",,,,"A.62","assumed fluoropolymers PFA (Perfluoroalkoxy alkane) PVDF ETFE PA66 HDPE Resins: PE POM"
"equipment / Bearings, jewels, and pivots in many kinds of instruments",,,"PFPE",,,,"A.62","Polymeric PFAS: PFPE"
"equipment / Industrial monitoring and control instruments","Perfluoroalkoxy alkane",,"PFA",,,,"A.62","assumed fluoropolymers PFA (Perfluoroalkoxy alkane) PVDF ETFE PA66 HDPE Resins: PE POM"
"equipment / Industrial monitoring and control instruments",,,"ETFE",,,,"A.62","assumed fluoropolymers PFA (Perfluoroalkoxy alkane) PVDF ETFE PA66 HDPE Resins: PE POM"
"equipment / Industrial monitoring and control instruments",,,"PVDF",,,,"A.62","assumed fluoropolymers PFA (Perfluoroalkoxy alkane) PVDF ETFE PA66 HDPE Resins: PE POM"
"equipment / Instrument fill fluids where strong oxidizing agents prelude the use of glycerine or silicon oil fill fluids e.g. Diaphragm seals, pressure gauges, manometers, dead weigh testers and sensors.",,,"PCTFE",,,,"A.62","Polymeric PFAS: PCTFE (oil)"
"equipment / Lubrication of seals during assemply of vacuum pumps and cryogenic cryostats",,,"PFPE",,,,"A.62","Polymeric PFAS: PFPE (grease)"
"equipment / Mass flow controllers and mass flow meters used for flow control and flow measurement of various industrial gases.","Perfluoroalkoxy alkane",,"PFA",,,,"A.62","assumed fluoropolymers PFA (Perfluoroalkoxy alkane) PVDF ETFE PA66 HDPE Resins: PE POM"
"equipment / Mass flow controllers and mass flow meters used for flow control and flow measurement of various industrial gases.",,,"ETFE",,,,"A.62","assumed fluoropolymers PFA (Perfluoroalkoxy alkane) PVDF ETFE PA66 HDPE Resins: PE POM"
"equipment / Mass flow controllers and mass flow meters used for flow control and flow measurement of various industrial gases.",,,"PVDF",,,,"A.62","assumed fluoropolymers PFA (Perfluoroalkoxy alkane) PVDF ETFE PA66 HDPE Resins: PE POM"
"equipment / Microscopy equipment","Fluorine grease (not further specified)",,,,,,"A.62","Fluorine grease (not further specified)"
"equipment / Spectrometers incl. lubrication of sealings like O-rings","Perfluoroalkoxy alkane",,"PFA",,,,"A.62","assumed fluoropolymers PFA (Perfluoroalkoxy alkane) PVDF ETFE PA66 HDPE Resins: PE POM"
"equipment / Spectrometers incl. lubrication of sealings like O-rings",,,"ETFE",,,,"A.62","assumed fluoropolymers PFA (Perfluoroalkoxy alkane) PVDF ETFE PA66 HDPE Resins: PE POM"
"equipment / Spectrometers incl. lubrication of sealings like O-rings",,,"PVDF",,,,"A.62","assumed fluoropolymers PFA (Perfluoroalkoxy alkane) PVDF ETFE PA66 HDPE Resins: PE POM"
"equipment / Vacuum pump oil for mass spectrometers",,,"PCTFE",,,,"A.62","Polymeric PFAS: PCTFE (oil)"
"equipment / Various analytical equipment [*Note that analytical references are exempted, see explanatory note of the main report]","Perfluoroalkoxy alkane",,"PFA",,,,"A.62","assumed fluoropolymers PFA (Perfluoroalkoxy alkane) PVDF ETFE PA66 HDPE Resins: PE POM"
"equipment / Various analytical equipment [*Note that analytical references are exempted, see explanatory note of the main report]",,,"ETFE",,,,"A.62","assumed fluoropolymers PFA (Perfluoroalkoxy alkane) PVDF ETFE PA66 HDPE Resins: PE POM"
"equipment / Various analytical equipment [*Note that analytical references are exempted, see explanatory note of the main report]",,,"PVDF",,,,"A.62","assumed fluoropolymers PFA (Perfluoroalkoxy alkane) PVDF ETFE PA66 HDPE Resins: PE POM"
"equipment / Wax coating to protect glass from attack by aggressive compounds",,,"PCTFE",,,,"A.62","Polymeric PFAS: PCTFE (grease/wax)"
"Consumables / Latex printing inks","Perfluoro-n-hexanoic acid",,"PFHxA",,,"307-24-4","A.70","PFHxA (Perfluoro-n-hexanoic acid) (CAS: 307-24-4)"
"Consumables / PTFE powders",,,"PTFE",,,"9002-84-0","A.70","PTFE (CAS: 9002-84-0)"
"Consumables / PTFE wax",,,"PTFE",,,"9002-84-0","A.70","PTFE (CAS: 9002-84-0)"
"Consumables / Photosensitive materials","Perfluoro-n-hexanoic acid",,"PFHxA",,,"307-24-4","A.70","PFHxA (Perfluoro-n-hexanoic acid) (CAS: 307-24-4) Sidechain fluorinated polymers (unspecified) Other PFAS substances (unspecified)"
"Consumables / Photosensitive materials","Sidechain fluorinated polymers (unspecified) Other PFAS substances (unspecified)",,,,,,"A.70","PFHxA (Perfluoro-n-hexanoic acid) (CAS: 307-24-4) Sidechain fluorinated polymers (unspecified) Other PFAS substances (unspecified)"
"Consumables / Pigments and colourants","Pigment yellow 154",,,,,"68134-22-5","A.70","Pigment yellow 154 (CAS: 68134-22-5)"
"Consumables / Toners","Perfluoroalkoxy alkane",,"PFA",,,"26655-00-5","A.70","Polytetrafluoroethylene (PTFE) (CAS: 9002-84-0); Perfluoroalkoxy alkane (PFA) (CAS: 26655-00-5); Polyvinylidene fluoride (PVDF) (CAS: 24937-79-9) Other substances claimed as confidential"
"Consumables / Toners","Polytetrafluoroethylene",,"PTFE",,,"9002-84-0","A.70","Polytetrafluoroethylene (PTFE) (CAS: 9002-84-0); Perfluoroalkoxy alkane (PFA) (CAS: 26655-00-5); Polyvinylidene fluoride (PVDF) (CAS: 24937-79-9) Other substances claimed as confidential"
"Consumables / Toners","Polyvinylidene fluoride",,"PVDF",,,"24937-79-9","A.70","Polytetrafluoroethylene (PTFE) (CAS: 9002-84-0); Perfluoroalkoxy alkane (PFA) (CAS: 26655-00-5); Polyvinylidene fluoride (PVDF) (CAS: 24937-79-9) Other substances claimed as confidential"
"Permanent parts / Electrophotographic press units",,,"PTFE",,,"9002-84-0","A.70","PTFE (CAS: 9002-84-0); Other substances claimed as confidential."
"Permanent parts / Kinetic printing components","(comment ID #8180) (oxy-1,4 phenylenesulfonyl- 1,4phenylene)]",,"PESU",,,"25667-42-9","A.70","PTFE (CAS: 9002-84-0); PFA (CAS: 26655-00-5); Polyvinyl fluoride (PVF) (CAS: 9002-86-2) ; PVDF (CAS: 24937-79-9) FKM (Fluorine Kautschuk Material) (CAS: 115-96-7); FFKM (Perfluoro(Methyl Vinyl Ether)-Tetrafluoroethylene Copolymer) (CAS: 26425-79-6); Poly (oxy-1,4-phenylenesulfonyl-1,4-phenylene)] (PESU) (CAS: 25667-42-9) (comment ID #8180) (oxy-1,4 phenylenesulfonyl- 1,4phenylene)] (PESU) (CAS: 25667-42-9) Other substances claimed as confidential"
"Permanent parts / Kinetic printing components","FFKM (Perfluoro(Methyl Vinyl Ether)-Tetrafluoroethylene Copolymer)",,,,,"26425-79-6","A.70","PTFE (CAS: 9002-84-0); PFA (CAS: 26655-00-5); Polyvinyl fluoride (PVF) (CAS: 9002-86-2) ; PVDF (CAS: 24937-79-9) FKM (Fluorine Kautschuk Material) (CAS: 115-96-7); FFKM (Perfluoro(Methyl Vinyl Ether)-Tetrafluoroethylene Copolymer) (CAS: 26425-79-6); Poly (oxy-1,4-phenylenesulfonyl-1,4-phenylene)] (PESU) (CAS: 25667-42-9) (comment ID #8180) (oxy-1,4 phenylenesulfonyl- 1,4phenylene)] (PESU) (CAS: 25667-42-9) Other substances claimed as confidential"
"Permanent parts / Kinetic printing components","Fluorine Kautschuk Material",,"FKM",,,"115-96-7","A.70","PTFE (CAS: 9002-84-0); PFA (CAS: 26655-00-5); Polyvinyl fluoride (PVF) (CAS: 9002-86-2) ; PVDF (CAS: 24937-79-9) FKM (Fluorine Kautschuk Material) (CAS: 115-96-7); FFKM (Perfluoro(Methyl Vinyl Ether)-Tetrafluoroethylene Copolymer) (CAS: 26425-79-6); Poly (oxy-1,4-phenylenesulfonyl-1,4-phenylene)] (PESU) (CAS: 25667-42-9) (comment ID #8180) (oxy-1,4 phenylenesulfonyl- 1,4phenylene)] (PESU) (CAS: 25667-42-9) Other substances claimed as confidential"
"Permanent parts / Kinetic printing components","Poly (oxy-1,4-phenylenesulfonyl-1,4-phenylene)]",,"PESU",,,"25667-42-9","A.70","PTFE (CAS: 9002-84-0); PFA (CAS: 26655-00-5); Polyvinyl fluoride (PVF) (CAS: 9002-86-2) ; PVDF (CAS: 24937-79-9) FKM (Fluorine Kautschuk Material) (CAS: 115-96-7); FFKM (Perfluoro(Methyl Vinyl Ether)-Tetrafluoroethylene Copolymer) (CAS: 26425-79-6); Poly (oxy-1,4-phenylenesulfonyl-1,4-phenylene)] (PESU) (CAS: 25667-42-9) (comment ID #8180) (oxy-1,4 phenylenesulfonyl- 1,4phenylene)] (PESU) (CAS: 25667-42-9) Other substances claimed as confidential"
"Permanent parts / Kinetic printing components","Polyvinyl fluoride",,"PVF",,,"9002-86-2","A.70","PTFE (CAS: 9002-84-0); PFA (CAS: 26655-00-5); Polyvinyl fluoride (PVF) (CAS: 9002-86-2) ; PVDF (CAS: 24937-79-9) FKM (Fluorine Kautschuk Material) (CAS: 115-96-7); FFKM (Perfluoro(Methyl Vinyl Ether)-Tetrafluoroethylene Copolymer) (CAS: 26425-79-6); Poly (oxy-1,4-phenylenesulfonyl-1,4-phenylene)] (PESU) (CAS: 25667-42-9) (comment ID #8180) (oxy-1,4 phenylenesulfonyl- 1,4phenylene)] (PESU) (CAS: 25667-42-9) Other substances claimed as confidential"
"Permanent parts / Kinetic printing components",,,"PFA",,,"26655-00-5","A.70","PTFE (CAS: 9002-84-0); PFA (CAS: 26655-00-5); Polyvinyl fluoride (PVF) (CAS: 9002-86-2) ; PVDF (CAS: 24937-79-9) FKM (Fluorine Kautschuk Material) (CAS: 115-96-7); FFKM (Perfluoro(Methyl Vinyl Ether)-Tetrafluoroethylene Copolymer) (CAS: 26425-79-6); Poly (oxy-1,4-phenylenesulfonyl-1,4-phenylene)] (PESU) (CAS: 25667-42-9) (comment ID #8180) (oxy-1,4 phenylenesulfonyl- 1,4phenylene)] (PESU) (CAS: 25667-42-9) Other substances claimed as confidential"
"Permanent parts / Kinetic printing components",,,"PTFE",,,"9002-84-0","A.70","PTFE (CAS: 9002-84-0); PFA (CAS: 26655-00-5); Polyvinyl fluoride (PVF) (CAS: 9002-86-2) ; PVDF (CAS: 24937-79-9) FKM (Fluorine Kautschuk Material) (CAS: 115-96-7); FFKM (Perfluoro(Methyl Vinyl Ether)-Tetrafluoroethylene Copolymer) (CAS: 26425-79-6); Poly (oxy-1,4-phenylenesulfonyl-1,4-phenylene)] (PESU) (CAS: 25667-42-9) (comment ID #8180) (oxy-1,4 phenylenesulfonyl- 1,4phenylene)] (PESU) (CAS: 25667-42-9) Other substances claimed as confidential"
"Permanent parts / Kinetic printing components",,,"PVDF",,,"24937-79-9","A.70","PTFE (CAS: 9002-84-0); PFA (CAS: 26655-00-5); Polyvinyl fluoride (PVF) (CAS: 9002-86-2) ; PVDF (CAS: 24937-79-9) FKM (Fluorine Kautschuk Material) (CAS: 115-96-7); FFKM (Perfluoro(Methyl Vinyl Ether)-Tetrafluoroethylene Copolymer) (CAS: 26425-79-6); Poly (oxy-1,4-phenylenesulfonyl-1,4-phenylene)] (PESU) (CAS: 25667-42-9) (comment ID #8180) (oxy-1,4 phenylenesulfonyl- 1,4phenylene)] (PESU) (CAS: 25667-42-9) Other substances claimed as confidential"
"Permanent parts / Printing plates (offset and letterpress printing)",,,"PFA",,,"26655-00-5","A.70","PTFE (CAS: 9002-84-0) and PFA (CAS: 26655-00-5)"
"Permanent parts / Printing plates (offset and letterpress printing)",,,"PTFE",,,"9002-84-0","A.70","PTFE (CAS: 9002-84-0) and PFA (CAS: 26655-00-5)"
"Permanent parts / Rollers",,,"FKM",,,"115-96-7","A.70","PTFE (CAS: 9002-84-0); FKM (CAS: 115-96-7) ; and PFA (CAS: 26655-00-5)"
"Permanent parts / Rollers",,,"PFA",,,"26655-00-5","A.70","PTFE (CAS: 9002-84-0); FKM (CAS: 115-96-7) ; and PFA (CAS: 26655-00-5)"
"Permanent parts / Rollers",,,"PTFE",,,"9002-84-0","A.70","PTFE (CAS: 9002-84-0); FKM (CAS: 115-96-7) ; and PFA (CAS: 26655-00-5)"
"Drug delivery devices / Fluoropolymer coated canisters in pMDIs",,,"FEP",,,,"A.78","A.78 row (Drug delivery devices / Fluoropolymer coated canisters in pMDIs): marks = X, X"
"Drug delivery devices / Fluoropolymer coated canisters in pMDIs",,,"PFA",,,,"A.78","A.78 row (Drug delivery devices / Fluoropolymer coated canisters in pMDIs): marks = X, X"
"Drug delivery devices / Fluoropolymer coated plungers in pre-filled syringes",,,"ETFE",,,,"A.78","A.78 row (Drug delivery devices / Fluoropolymer coated plungers in pre-filled syringes): marks = X, X, (X), (X)"
"Drug delivery devices / Fluoropolymer coated plungers in pre-filled syringes",,,"FEP",,,,"A.78","A.78 row (Drug delivery devices / Fluoropolymer coated plungers in pre-filled syringes): marks = X, X, (X), (X)"
"Drug delivery devices / Fluoropolymer coated plungers in pre-filled syringes",,,"PCTFE",,,,"A.78","A.78 row (Drug delivery devices / Fluoropolymer coated plungers in pre-filled syringes): marks = X, X, (X), (X)"
